Document,Primary Introducer,Status,Description,Document ID
LB1,"Executive Board: Krist, Chairperson",Passed,Revisor bill to repeal an obsolete section relating to a transfer of property taking place in 1994,24605
LB2,"Executive Board: Krist, Chairperson",Passed,Revisor bill to repeal an obsolete section relating to design and location of certain facilities done in the 1970's,24606
LB3,"Executive Board: Krist, Chairperson",Passed,"Revisor bill to repeal obsolete tax credit sections that terminated January 1, 2010",24615
LB4,"Executive Board: Krist, Chairperson",Passed,"Revisor bill to repeal obsolete Nebraska Opportunity Zone Act sections that terminated December 31, 2010",24616
LB5,"Executive Board: Krist, Chairperson",Passed,"Revisor bill to repeal obsolete Nebraska Innovation and High Wage Employment Act sections that terminated January 1, 2011",24617
LB6,"Executive Board: Krist, Chairperson",Passed,"Revisor bill to repeal an obsolete prenatal service section that terminated June 30, 2011",24618
LB7,"Executive Board: Krist, Chairperson",Passed,"Revisor bill to repeal Lead-Based Paint Hazard Control Program sections that terminated June 30, 2011 ",24619
LB8,"Executive Board: Krist, Chairperson",Passed,"Revisor bill to repeal the Children's Behavioral Health Oversight Committee of the Legislature that terminated December 31, 2012",24620
LB9,"Executive Board: Krist, Chairperson",Passed,"Revisor bill to repeal the Republican River Basin Water Sustainability Task Force that terminated June 30, 2012",24621
LB10,McCoy,Indefinitely postponed,Change provisions relating to presidential electors and political party conventions ,24709
LB11,Krist,Indefinitely postponed,Change participation and reimbursement provisions under the Managed Care Plan Network Adequacy Act ,24419
LB12,Krist,Indefinitely postponed,Suspend medical assistance provided to persons who become inmates of public institutions,24440
LB12A,Krist,Indefinitely postponed,Appropriation Bill,26075
LB13,Krist,Indefinitely postponed,Change Community-based Juvenile Services Aid Program provisions,24968
LB14,Krist,Indefinitely postponed,Create the offense of use of a facsimile firearm or nonfunctioning firearm to commit a felony,24799
LB15,Krist,Passed,Require the Supreme Court to provide standards and provide and change duties for and compensation of guardians ad litem,24766
LB16,Krist,Indefinitely postponed,Adopt the Purchasing from Persons with Disabilities Act,24473
LB17,Krist,Indefinitely postponed,Change provisions relating to transfers to the Compulsive Gamblers Assistance Fund,24645
LB18,Krist,Indefinitely postponed,Change provisions relating to immunizations  for students,24493
LB18A,Krist,Indefinitely postponed,Appropriation Bill,25606
LB19,Krist,Passed,Change provisions relating to laboratory certification under the Nebraska Safe Drinking Water Act,24556
LB20,Krist,Indefinitely postponed,Change the income tax exemptions for social security benefits and military retirement benefits,24583
LB21,Krist,Indefinitely postponed,Provide requirements for rate increases for providers of behavioral health services as prescribed,24774
LB22,Krist,Indefinitely postponed,Provide immunity from liability for engineers and architects for emergency services,24446
LB23,Krist,Passed,Change the Engineers and Architects Regulation Act,24360
LB24,Krist,Indefinitely postponed,Change provisions relating to the Nebraska Capitol Commission,24869
LB25,Krist,Indefinitely postponed,Change court jurisdiction relating to 17 year olds and young adults,24437
LB26,Krist,Indefinitely postponed,Adopt the Choice for the Advancement of Nebraska Children in Education Act and provide for tax credits,24911
LB27,Krist,Indefinitely postponed,Create a reporting requirement under the Vital Statistics Act when parenting time is established or modified,24759
LB28,Krist,Indefinitely postponed,Adopt the Radon Resistant New Construction Act,24604
LB29,McCoy,Indefinitely postponed,Change provisions relating to school health inspections,24442
LB30,McCoy,Indefinitely postponed,"Prohibit disclosure of any applicant or permitholder information regarding firearms registration, possession, sale, or use as prescribed",24711
LB31,Bloomfield,Indefinitely postponed,Eliminate motorcycle and moped helmet requirements,24872
LB32,Mello,Indefinitely postponed,Require the Department of Correctional Services to submit strategic plans as part of its budget request and progress reports,24470
LB33,Mello,Passed,Require revenue volatility reporting by the Legislative Fiscal Analyst and strategic planning and reporting by the Department of Correctional Services,24368
LB34,Howard,Passed,Adopt the Carbon Monoxide Safety Act,24457
LB35,Howard,Passed,Change Business Corporation Act references,24327
LB36,Bolz,Indefinitely postponed,Adopt the Community College Gap Assistance Program Act,24602
LB37,Krist,Passed,"Adopt the Prescription Drug Safety Act and change and transfer pharmacy, prescription, and drug provisions",24445
LB38,Kolowski,Indefinitely postponed,Change motor vehicle homicide penalties and provide penalties for causing serious bodily injury to vulnerable road users,24718
LB39,Kolowski,Indefinitely postponed,Change provisions regarding passing bicycles and bicycle operating regulations,24719
LB40,Nordquist,Passed,Grant investigative powers to the Public Employees Retirement Board and delete unconstitutional provisions,24657
LB41,Nordquist,Passed,Redefine county for county retirement plan purposes,25044
LB42,Nordquist,Passed,Change the due date for certain retirement plan reporting,24662
LB43,Coash,Passed,Provide for standby guardians and recovery of assets under the Nebraska Probate Code,24981
LB44,Coash,Indefinitely postponed,Change provisions relating to a notice of objection to adoption,24346
LB45,Coash,Passed,Change and eliminate film vehicle provisions under the Motor Vehicle Registration Act,24704
LB46,Watermeier,Passed,Change provisions of the Statewide Trauma System Act,25108
LB47,Watermeier,Passed,Change provisions relating to anatomical gifts under the Motor Vehicle Operator's License Act,24661
LB48,Scheer,Indefinitely postponed,Change unfair insurance trade practices relating to casualty losses,24450
LB49,Scheer,Indefinitely postponed,Provide for allied school systems,24504
LB50,Scheer,Withdrawn,Change provisions relating to medicaid covered services,24526
LB51,Scheer,Indefinitely postponed,Require disclosures prior to joining a risk management pool under the Intergovernmental Risk Management Act,24570
LB52,Scheer,Passed,Exempt sanitary drainage districts from sales and use taxes,24650
LB53,Scheer,Passed,Provide for issuance of one license plate for passenger cars as prescribed,24651
LB54,Scheer,Indefinitely postponed,Change provisions relating to postsecondary education statewide transfer-of-credit policies,24652
LB55,Scheer,Passed,Provide authority to the Adjutant General to make expenditures for a disaster or emergency,24686
LB56,Scheer,Passed,Provide procedures for the disposition of the Norfolk Regional Center,24967
LB57,Scheer,Indefinitely postponed,Appropriate funds to the Department of Administrative Services to demolish certain buildings,24969
LB58,Scheer,Indefinitely postponed,Provide for calculation and distribution of funds to certain schools as prescribed,25047
LB59,Scheer,Withdrawn,Redefine state aid value for purposes of the Tax Equity and Educational Opportunities Support Act,25071
LB60,Kintner,Indefinitely postponed,Authorize possession of firearms as prescribed,25084
LB61,Bolz,Indefinitely postponed,Change funding for county offices relating to administration of public assistance programs,24464
LB62,Schumacher,Indefinitely postponed,Provide an income tax deduction for loan principal payments for graduate degrees,24361
LB63,Schumacher,Indefinitely postponed,Provide an income tax deduction for the amount of income subjected to Social Security taxes ,24371
LB64,Schumacher,Indefinitely postponed,Provide an income tax deduction for the income earned from second jobs,24372
LB65,Schumacher,Passed,Change provisions relating to termination of township boards,25038
LB66,Schumacher,Indefinitely postponed,Require political subdivisions to make disclosures regarding bonds and provide for liability,24845
LB67,Schumacher,Indefinitely postponed,Provide for governmental unit bond priority,24596
LB68,Schumacher,Indefinitely postponed,Eliminate stepped-up basis of inherited real estate,24389
LB69,Schumacher,Indefinitely postponed,Provide an income tax credit for corporate income taxes paid,24511
LB70,Schumacher,Governor Veto,Authorize an occupation tax on certain mechanical amusement devices,24353
LB70A,Schumacher,Governor Veto,Appropriation Bill,26759
LB71,Schumacher,Indefinitely postponed,Adopt the Agricultural Property Tax Credit Act,24699
LB72,Schumacher,Passed,Provide restrictions on trusts for collection of medicaid reimbursement obligations and require notice of inheritance tax petitions,24413
LB72A,Schumacher,Passed,Appropriation Bill,27137
LB73,Schumacher,Indefinitely postponed,Adopt the Modern Tax Act,24761
LB74,Schumacher,Indefinitely postponed,Change sales and use tax collection fees,24693
LB75,Schumacher,Indefinitely postponed,Adopt the Taxpayer Investment Program,24997
LB76,Schumacher,Indefinitely postponed,Change provisions relating to the earned income tax credit and the homestead exemption,24512
LB77,Nordquist,Indefinitely postponed,Require a medicaid state plan amendment for family planning services and state intent relating to appropriations for the Every Woman Matters program,24672
LB77A,Nordquist,Indefinitely postponed,Appropriation Bill,26026
LB78,Gloor,Indefinitely postponed,Change provisions relating to the public agencies authorized to enter into agreements under the Intergovernmental Risk Management Act,24775
LB79,Gloor,Indefinitely postponed,Require insurance coverage for renewals of prescription eye drops,24572
LB80,Gloor,Passed,"Provide, change, and eliminate anesthesia and sedation permit provisions under the Dentistry Practice Act",24449
LB81,Cook,Passed,Change provisions relating to eligibility for child care assistance and require a report regarding transitional childcare assistance programs,24932
LB81A,Cook,Passed,Appropriation Bill,26755
