Document,Primary Introducer,Status,Description,Document ID
LB295A,Smith,Indefinitely postponed,Appropriation Bill,34561
LB439A,Wishart,Passed,Appropriation Bill,35424
LB477A,McCollister,Indefinitely postponed,Appropriation Bill,36252
LB565A,McCollister,Indefinitely postponed,Appropriation Bill,34560
LB668,"Executive Board: Watermeier, Chairperson",Passed,Revisor bill to eliminate inconsistent language related to the enrollment option program,33920
LB669,"Executive Board: Watermeier, Chairperson",Passed,Revisor bill to repeal obsolete provisions related to educational bridge programs,33921
LB670,Krist,Passed,Change provisions relating to the juvenile justice system,34197
LB671,Krist,Indefinitely postponed,"Change requirements for certain driving permits and use of occupant protection systems, change certain violations from secondary to primary enforcement, and prohibit use of interactive wireless communication devices by school bus operators",33845
LB672,Krist,Indefinitely postponed,Provide for medical release for committed offenders,34007
LB673,Krist,Indefinitely postponed,Change procedures for certain hearings for juveniles,34255
LB674,Krist,Indefinitely postponed,State intent to appropriate funds to the Division of Aeronautics for the Civil Air Patrol,33952
LB675,Krist,Indefinitely postponed,Change provisions relating to correctional overcrowding emergencies,33885
LB676,Krist,Indefinitely postponed,"Allow certain committed persons to participate in substance abuse or rehabilitative treatment, seek residency or employment, and participate in structured programming",33955
LB677,Krist,Indefinitely postponed,Change appropriations for certain health and human services programs,34187
LB678,Krist,Indefinitely postponed,Change provisions relating to criminal justice,33865
LB679,Krist,Indefinitely postponed,Change the distribution of taxes remitted to the Charitable Gaming Operations Fund,34042
LB680,Krist,Indefinitely postponed,Adopt the Interstate Placement for Involuntarily Admitted Patients Agreement Act,34259
LB681,Blood,Indefinitely postponed,Adopt the Physical Therapy Licensure Compact,33877
LB682,Blood,Passed,Provide consumer protection and civil relief for servicemembers and provide a duty for the National Guard,33879
LB683,Blood,Indefinitely postponed,Provide a license fee exemption for servicemembers and their spouses under the Nebraska Real Estate License Act,33928
LB684,Blood,Indefinitely postponed,Change the Beginning Farmer Tax Credit Act,34153
LB685,Blood,Passed,Provide a funding priority for special-needs military dependents under the Developmental Disabilities Services Act,33883
LB686,Blood,Indefinitely postponed,Adopt the Psychology Interjurisdictional Compact,33878
LB686A,Blood,Indefinitely postponed,Appropriation Bill,36028
LB687,Blood,Indefinitely postponed,Adopt the Advanced Practice Registered Nurse Compact,33876
LB688,Blood,Indefinitely postponed,"Provide for the possession, use, and application of sunscreen for children and students and provide immunity",34017
LB689,Blood,Indefinitely postponed,Exclude juveniles from the Sex Offender Registration Act,33896
LB690,Blood,Indefinitely postponed,Adopt the Counterfeit Airbag Prevention Act,34105
LB691,Blood,Indefinitely postponed,Adopt the Nebraska Virtual Currency Money Laundering Act and define and redefine terms under the Nebraska Money Transmitters Act,33834
LB692,Blood,Indefinitely postponed,Provide for a staffing analysis of the Department of Correctional Services,34203
LB693,Blood,Indefinitely postponed,Regulate and create criminal offenses regarding the use of unmanned aircraft systems,33832
LB694,Blood,Indefinitely postponed,Prohibit cities and villages and counties from taxing or regulating distributed ledger technology,33912
LB695,Blood,Indefinitely postponed,Authorize and define smart contracts and authorize use of distributed ledger technology as prescribed,33913
LB696,Ebke,Indefinitely postponed,Increase the number of district court judges in Douglas County,34271
LB697,Ebke,Passed,Change certain district court judicial district boundaries,34270
LB698,Kolterman,Indefinitely postponed,Change powers and duties of the Public Employees Retirement Board,34191
LB699,Kolterman,Indefinitely postponed,Redefine actuarial equivalent in certain retirement acts as prescribed,34200
