Document,Primary Introducer,Status,Description,Document ID
LB1,"Executive Board: Watermeier, Chairperson",Passed,Revisor bill to repeal obsolete provisions under the Ethanol Development Act,30701
LB2,"Executive Board: Watermeier, Chairperson",Passed,Revisor bill to repeal obsolete provisions relating to a dairy industry report,30676
LB3,"Executive Board: Watermeier, Chairperson",Passed,"Revisor bill to repeal obsolete provisions that terminated July 31, 2011",31204
LB4,"Executive Board: Watermeier, Chairperson",Passed,"Revisor bill to repeal obsolete provisions that terminated June 30, 2014",31198
LB5,"Executive Board: Watermeier, Chairperson",Passed,"Revisor bill to repeal obsolete provisions that terminated December 31, 2014",31173
LB6,Krist,Indefinitely postponed,Provide for release of a summarized report by the office of Inspector General of Nebraska Child Welfare,31407
LB7,Krist,Indefinitely postponed,Provide for suspension of medical assistance under the medical assistance program for detainees in public institutions,30674
LB8,Krist,Passed,Change and eliminate provisions relating to juvenile detention and probation and provide for graduated response sanctions and incentives ,31057
LB9,Krist,Passed,Adopt the Radon Resistant New Construction Act,30681
LB10,Krist,Passed,Increase number of judges of the separate juvenile court as prescribed,30718
LB10A,Krist,Passed,Appropriation Bill,31864
LB11,Krist,Passed,Change provisions relating to transfer of juvenile cases and appeal of such transfers,31225
LB12,Krist,Indefinitely postponed,Change homestead exemption requirements relating to income statements and certifications of status,30894
LB13,Krist,Withdrawn,Change provisions regarding state office space and the use of the State Capitol and its environs,31182
LB14,Krist,Indefinitely postponed,Require successful completion of a civics examination as a prerequisite to high school graduation,30673
LB15,Craighead,Indefinitely postponed,Adopt the First-Time Home Buyer Savings Account Act,30799
LB16,Craighead,Passed,"Change provisions relating to licensing, trust accounts, and unfair trade practices under the Nebraska Real Estate License Act",30850
LB17,Erdman,Passed,Change and eliminate provisions of the Real Property Appraiser Act and the Nebraska Appraisal Management Company Registration Act,30898
LB18,Kolterman,Passed,Change licensure and scope of practice for dental assistants and dental hygienists,30786
LB18A,Kolterman,Passed,Appropriation Bill,31803
LB19,Kolterman,Passed,Change requirements for the practice of acupuncture,30789
LB20,Kolterman,Passed,Change provisions relating to homestead exemption certifications,30801
LB21,Riepe,Indefinitely postponed,Change provisions relating to motor vehicle insurance coverage for loaned vehicles,31455
LB22,Speaker Scheer,Passed,"Provide, change, and eliminate provisions relating to appropriations and reduce appropriations",31217
LB23,Speaker Scheer,Indefinitely postponed,Provide for transfers of funds and terminate funds,31216
LB24,Speaker Scheer,Indefinitely postponed,Change provisions relating to the Cash Reserve Fund,31378
LB25,Murante,Indefinitely postponed,Change provisions for presidential electors,31415
LB26,Murante,Indefinitely postponed,Change service requirements for harassment protection orders,30819
LB27,Murante,Indefinitely postponed,Change requirements for state agency contracts and powers and duties of the Auditor of Public Accounts as prescribed,30717
LB28,Kolterman,Withdrawn,Increase amount of funds offered by the state investment officer to financial institutions as deposits under the Nebraska Capital Expansion Act,30700
LB29,Kolterman,Passed,Eliminate the Class V School Employees Retirement Cash Fund,31269
LB30,Kolterman,Indefinitely postponed,Provide for a cash balance benefit plan by cities of the metropolitan and primary classes for certain police officers or firefighters as prescribed,31087
LB31,Kolterman,Indefinitely postponed,Change school retirement plan provisions relating to service credits,31417
LB32,Kolterman,Indefinitely postponed,Eliminate a duty of the Public Employees Retirement Board and change provisions relating to prior service retirement benefit payments for county employees,31418
LB33,Ebke,Indefinitely postponed,Change fees relating to vital statistics,30751
LB34,Ebke,Passed,Change filing requirements for partisan candidates,31144
LB35,Harr,Passed,Change provisions relating to the Nebraska Model Business Corporation Act,30729
LB36,Harr,Indefinitely postponed,Provide for review by state agencies of occupational credentials and provide for a critical assessment document,31045
LB37,Harr,Indefinitely postponed,Adopt the Uniform Wage Garnishment Act,31152
LB38,Harr,Indefinitely postponed,Authorize electronic or digital signatures for instruments submitted to register of deeds,31191
LB39,Harr,Indefinitely postponed,Prohibit the sale and trade of ivory,30883
LB40,Hilkemann,Indefinitely postponed,Prohibit use of an interactive wireless communication device by a school bus operator as prescribed,30818
