Document,Primary Introducer,Status,Description,Document ID
LB255A,McCollister,General File,Appropriation Bill,42343
LB310A,Vargas,Passed,Appropriation Bill,41575
LB329A,Bolz,General File,Appropriation Bill,42180
LB518A,Linehan,Select File,Appropriation Bill,41968
LB563A,Bolz,General File,Appropriation Bill,42531
LB734A,Hunt,Passed,Appropriation Bill,40969
LB740,"Executive Board: Hilgers, Chairperson",Passed,Revisor bill to repeal obsolete provisions relating to transfers of funds,41246
LB741,"Executive Board: Hilgers, Chairperson",Passed,Revisor bill to repeal obsolete provisions relating to the Subsidized Employment Pilot Program,41247
LB742,Blood,Referral,"Change penalty, sentencing, and hearing application provisions relating to offenses against animals",40655
LB743,Blood,Referral,Adopt updated electrical standards,40822
LB744,Blood,Referral,Authorize appointment of county engineer in certain counties and change powers and duties,41132
LB745,Blood,General File,Provide duties for law enforcement and prosecutors regarding federal immigration forms relating to victims of certain crimes,40721
LB746,Blood,Referral,Adopt the Nebraska Consumer Data Privacy Act,40714
LB747,Blood,Referral,Change the definition of microbusiness under the Nebraska Advantage Microenterprise Tax Credit Act,40716
LB748,Blood,Referral,Adopt the Fertility Fraud Act,40677
LB749,Blood,Referral,Adopt the Nebraska Anti-Terrorism Act,40701
LB750,Blood,Referral,Prohibit discrimination based on military or veteran status,40662
LB751,Blood,Select File,Provide for a mental health exception to compulsory education requirements,40733
LB752,Blood,General File,Provide duties and programs relating to veterans,40665
LB753,Blood,Referral,Adopt the Audiology and Speech-Language Pathology Interstate Compact,40658
LB754,Blood,Withdrawn,Provide for a new certificate of birth and amendment of a certificate of birth,40660
LB755,Blood,Select File,"Change provisions relating to home services under the Cosmetology, Electrology, Esthetics, Nail Technology, and Body Art Practice Act and Barber Act; physician assistants under the Medicine and Surgery Practice Act and the Podiatry Practice Act; membership of the Board of Medicine and Surgery; infant screening testing; Parkinson’s disease drug reporting; and the Engineers and Architects Regulation Act",40694
LB756,Blood,Referral,Authorize persons eighteen years of age or older to buy and sell stocks and bonds,40702
LB757,Blood,Referral,Prohibit certain fraudulent acts under the Nebraska Criminal Code and the Insurance Fraud Act,40706
LB758,Scheer,General File,Name the State Capitol courtyards,41217
LB759,Kolterman,Referral,Require consultation with school districts regarding placement of children,40957
LB760,Kolterman,Select File,Require health carriers to provide coverage for asynchronous review by a dermatologist by way of telehealth,41024
LB761,Dorn,Referral,Change motor vehicle registration fees and provide funding for the simulation in motion program,40857
LB762,Dorn,Referral,Provide for transfers to the Hall of Fame Trust Fund,41006
LB763,Dorn,General File,Change provisions relating to certain payments of funds to townships,41001
