Document,Primary Introducer,Status,Description,Document ID
LB191A,Nordquist,Passed,Appropriation Bill,22871
LB276A,Nordquist,Passed,Appropriation Bill,23892
LB371A,Mello,Passed,Appropriation Bill,22468
LB383A,Janssen,Passed,Appropriation Bill,23114
LB438A,Adams,Passed,Appropriation Bill,22017
LB464A,Ashford,Passed,Appropriation Bill,23654
LB485A,Conrad,Indefinitely postponed,Appropriation Bill,23948
LB494A,Davis,Indefinitely postponed,Appropriation Bill,22488
LB559A,Mello,Indefinitely postponed,Appropriation Bill,23817
LB560A,Mello,Passed,Appropriation Bill,23150
LB656,"Executive Board: Wightman, Chairperson",Passed,Revisor bill to repeal parimutuel wagering provisions held unconstitutional,21466
LB657,"Executive Board: Wightman, Chairperson",Passed,Revisor bill to repeal obsolete handicapped or disabled parking permit provisions,21521
LB658,"Executive Board: Wightman, Chairperson",Passed,Revisor bill to repeal an obsolete section relating to public power suppliers,21758
LB659,"Executive Board: Wightman, Chairperson",Passed,Revisor bill to repeal an obsolete section relating to the Radiation Control Act,21759
LB660,Krist,Passed,Provide for extension of a pilot project and a contract relating to case management,21414
LB660A,Krist,Passed,Appropriation Bill,22954
LB661,Krist,Passed,Provide for voter registration on the Secretary of State's website and use of Department of Motor Vehicle records,21579
LB661A,Krist,Passed,Appropriation Bill,22672
LB662,Krist,Indefinitely postponed,Provide and change requirements for voter identification,21718
LB663,Krist,Indefinitely postponed,Change provisions for elections conducted by mail,21578
LB664,Krist,Indefinitely postponed,Provide immunity under the Engineers and Architects Regulation Act during an emergency,21613
LB665,Krist,Indefinitely postponed,Change the Engineers and Architects Regulation Act,21371
LB666,Krist,Indefinitely postponed,State intent relating to funding for the Civil Air Patrol,21522
LB667,Krist,Indefinitely postponed,Provide an exception for motorcycles to certain vehicle light requirements,21514
LB668,Hadley,Indefinitely postponed,Provide for extinguishment of a lien or security interest as prescribed,21709
LB669,McCoy,Indefinitely postponed,Transfer cash reserve funds to the Property Tax Credit Cash Fund,21539
LB670,McCoy,Indefinitely postponed,Change property tax valuations of agricultural land and horticultural land,21813
LB671,Chambers,Governor Veto,Eliminate provisions relating to hunting and killing of mountain lions,21555
LB672,Chambers,Indefinitely postponed,Provide a duty for attorneys and counselors,21829
LB673,Chambers,Indefinitely postponed,Repeal the Black-Tailed Prairie Dog Management Act,21712
