Document,Primary Introducer,Status,Description,Document ID
LB1,"Executive Board: Hilgers, Chairperson",Passed,Revisor bill to repeal obsolete provisions relating to the Water Funding Task Force,37527
LB2,"Executive Board: Hilgers, Chairperson",Passed,Revisor bill to repeal obsolete provisions relating to a program that ended in 2012,37528
LB3,"Executive Board: Hilgers, Chairperson",Passed,Revisor bill to repeal obsolete appropriation provisions,37393
LB4,Stinner,Passed,Change mileage reimbursement and filing fees and eliminate certain notice requirements under the Tax Equalization and Review Commission Act,36892
LB4A,Stinner,Passed,Appropriation Bill,38212
LB5,Blood,Referral,Change the Beginning Farmer Tax Credit Act,37134
LB6,Blood,Passed,Change residency requirements for college tuition purposes for spouses or legal dependents of persons on active duty,37136
LB7,Blood,Passed,Adopt the Counterfeit Airbag Prevention Act,36797
LB8,Blood,Passed,Allow physician medical directors to display certain vehicle lights as prescribed,36798
LB9,Blood,General File,"Prohibit cities, counties, and villages from taxing or regulating distributed ledger technology",36799
LB10,Blood,Referral,Authorize the operation of lighted-billboard motor vehicles,37005
LB11,Blood,Passed,Provide for interlocal agreements regarding nuisances,36800
LB12,Blood,Passed,Provide a license fee exemption for servicemembers and their spouses under the Nebraska Real Estate License Act,36877
LB13,Blood,Indefinitely postponed,Provide a sales tax exemption for breast pumps and related supplies and exempt breast-feeding from public indecency offenses,36861
LB14,Blood,Withdrawn,Provide for truth in advertising and labeling in the sale of meat and provide a penalty,37537
LB15,Blood,Passed,Adopt the Children of Nebraska Hearing Aid Act,36850
LB16,Briese,Passed,Provide for the withholding of records relating to certain critical infrastructure,37464
LB17,Briese,Referral,State a right of juveniles who have a parent with a disability,37380
LB18,Briese,Referral,Adopt the Remote Seller Sales Tax Collection Act,37009
LB19,Briese,Referral,Allow withholding from public of reports of injury under the Nebraska Workers' Compensation Act as prescribed and provide duties for the Nebraska Workers' Compensation Court,37338
LB20,Briese,Referral,Require voter approval of public building commission bonds,37182
LB21,Kolterman,Referral,Provide formal protest procedures for certain state contracts for services,37316
LB22,Kolterman,Passed,Change provisions relating to the Nursing Facility Penalty Cash Fund,37478
LB23,Kolterman,Passed,Change the Property Assessed Clean Energy Act,37334
LB24,Kolterman,Referral,Appropriate funds to the Department of Health and Human Services,37610
LB25,Kolterman,Passed,Provide for additional fees under the Uniform Credentialing Act and create the Patient Safety Cash Fund,37167
LB25A,Kolterman,Passed,Appropriation Bill,38264
LB26,Kolterman,Passed,Change provisions related to legal service insurance corporations,36934
LB27,Kolterman,Referral,Change provisions related to the use of proceeds from community college levies,37235
LB28,Kolterman,General File,Authorize damages for property taxes and special assessments paid on property lost through adverse possession,37494
LB29,Kolterman,Passed,Provide and eliminate telehealth provisions,37298
LB30,Kolterman,Passed,Change and eliminate provisions under the Professional Landscape Architects Act,36951
LB31,Kolterman,Passed,Provide for a work plan relating to a transfer of management of the retirement system operated under the Class V School Employees Retirement Act to the Nebraska Public Employees Retirement Systems and to require a report and provide duties,37293
LB31A,Kolterman,Passed,Appropriation Bill,39410
LB32,Kolterman,Passed,Change defined contribution benefit investment options as prescribed under the County Employees Retirement Act and State Employees Retirement Act,37048
LB33,Kolterman,Passed,Change various provisions relating to retirement and the Nebraska Investment Council and the Public Employees Retirement Board,37552
LB33A,Kolterman,Passed,Appropriation Bill,38068
LB34,Kolterman,Passed,Change various retirement provisions,37117
