Document,Primary Introducer,Status,Description,Document ID
LB1,"Executive Board: Engel, Chairperson",Final Reading,Revisor bill to delete unconstitutional language relating to picketing,413
LB2,"Executive Board: Engel, Chairperson",Final Reading,Revisor bill to delete obsolete statutes relating to appropriations,520
LB3,Pahls,Indefinitely postponed,Provide a sales tax holiday for school-related purchases,309
LB4,Pahls,Indefinitely postponed,Provide income tax credits and adjustments relating to long-term care insurance,176
LB5,Pahls,Final Reading,Change provisions relating to the state's employee suggestion system,347
LB6,Pahls,Indefinitely postponed,Adopt the Nebraska Safe Haven Act,390
LB7,Preister,Indefinitely postponed,Change the rights of the public regarding agenda items under the Open Meetings Act,158
LB8,Preister,Final Reading,Increase penalty for accumulation of junk,400
LB9,Preister,Indefinitely postponed,Provide an income tax credit for energy conservation and renewable energy generation,181
LB10,Mines,Indefinitely postponed,Terminate estate and generation-skipping taxes,401
LB11,Mines,Final Reading,Change provisions relating to annexation by cities of the first class,636
LB12,Mines,Select File,Change the Commercial Dog and Cat Operator Inspection Act,557
LB12A,Mines,Final Reading,Appropriations bill,1376
LB13,Mines,Indefinitely postponed,Provide for the creation and certification of joint entities under the Interlocal Cooperation Act,2
LB14,Mines,Indefinitely postponed,Provide for one license plate and one In Transit decal per vehicle,236
LB15,Mines,Indefinitely postponed,Include parks as a prohibited area for controlled substances,265
LB16,Mines,Indefinitely postponed,Change provisions related to airport hazards and airport zoning regulations,505
LB17,Mines,Indefinitely postponed,Change provisions relating to multiple office holding,266
LB18,Mines,Indefinitely postponed,Change recall provisions,637
LB19,Mines,Indefinitely postponed,Authorize disposition of an abandoned mobile home as personal property,177
LB20,Mines,Indefinitely postponed,Change provisions related to public recreational access to water projects ,257
LB21,Raikes,Final Reading,Change school finance provisions relating to the cost growth factor,195
LB22,Wightman,Indefinitely postponed,Change inheritance tax calculations,275
LB23,Wightman,Indefinitely postponed,Exclude a portion of capital gains from income tax,274
LB24,Pahls,Final Reading,Change provisions relating to a reciprocal certificate as a certified public accountant,276
LB25,Langemeier,Final Reading,Change rabies control provisions to include hybrid animals,47
LB26,Langemeier,Final Reading,Redefine real estate broker under the Nebraska Real Estate License Act,208
LB27,Adams,Indefinitely postponed,Authorize the Auditor of Public Accounts to conduct certain audits,504
LB28,Adams,Final Reading,Change provisions relating to conveyance of personal property by cities of the second class and villages,502
LB29,Friend,Indefinitely postponed,Provide for court orders to direct financially able parents to pay for costs of care for wards of the state,43
LB30,Hudkins,Indefinitely postponed,Provide for reorganization of certain Class I and Class VI school districts,429
LB31,Nantkes,Indefinitely postponed,Change minimum wage and training wage provisions,350
LB31A,Nantkes,Indefinitely postponed,Appropriations bill,2309
LB32,Nantkes,Indefinitely postponed,Exempt college textbooks from sales tax,231
LB33,Fischer,Indefinitely postponed,Appropriate funds to fund the County Property Tax Relief Program,156
LB34,Schimek,Final Reading,Create the State-Tribal Relations Committee,29
LB35,Janssen,Final Reading,Set maximum speed limit for non-Interstate freeways,36
LB36,Hudkins,Indefinitely postponed,Change the number of county court judges,551
LB37,Hudkins,Indefinitely postponed,Change the number of district court judges,552
LB38,Hudkins,Indefinitely postponed,Change the number of separate juvenile court judges,553
LB39,Schimek,Veto Overridden,Provide restrictions relating to petition circulation and change campaign reporting provisions,585
LB40,Schimek,Indefinitely postponed,Require an initiative and referendum petition circulator to wear an identification badge,292
