Document,Primary Introducer,Status,Description,Document ID
LB190A,Avery,Passed,Appropriation Bill,10253
LB507A,Campbell,Passed,Appropriation Bill,11536
LB510A,Pirsch,Passed,Appropriation Bill,11002
LB563A,Lathrop,Passed,Appropriation Bill,11447
LB638A,Lautenbaugh,Indefinitely postponed,Appropriation Bill,10120
LB650A,Christensen,Passed,Appropriation Bill,10362
LB682,"Executive Board: Wightman, Chairperson",Passed,"Revisor bill to repeal section governing the Department of Natural Resources Interstate Water Rights Cash Fund that terminated June 30, 2003",9493
LB683,"Executive Board: Wightman, Chairperson",Passed,Revisor bill to repeal section stating legislative intent for fiscal year 2006-07,9494
LB684,"Executive Board: Wightman, Chairperson",Passed,Revisor bill to repeal sections that terminated in 2000 governing the Contribution Distributive Fund and the Social Security Cash Fund,9497
LB685,Wightman,Indefinitely postponed,Change membership provisions relating to the Executive Board of the Legislative Council,9724
LB686,Wightman,Indefinitely postponed,Change fees received by clerks and registers of deeds,9794
LB687,Wightman,Indefinitely postponed,"Change amounts of homestead allowance, exempt property, and family allowance for decedents' estates",9265
LB688,Wightman,Indefinitely postponed,Change and provide provisions for abandoned vehicles,9642
LB689,Langemeier,Passed,"Change Water Resources Cash Fund, Ethanol Production Incentive Cash Fund, and ethanol excise tax provisions",9770
LB690,Langemeier,Passed,Change deadline provisions relating to trade name publication filings,9571
LB691,Langemeier,Passed,Provide for issuance of cease and desist orders under the Nebraska Real Estate License Act,9614
LB692,Price,Indefinitely postponed,Change a duty of county assessors relating to real property valuation,9687
LB693,Price,Indefinitely postponed,Provide authorization for foreign insurers to offer health insurance in Nebraska,9329
LB694,Price,Indefinitely postponed,Provide restrictions for sexual predators and penalties,9619
LB695,Price,Passed,Change the jurisdictional amount of the Small Claims Court,9289
LB696,Pahls,Passed,Change provisions relating to disposal fees under the Integrated Solid Waste Management Act,9667
LB697,Pahls,Indefinitely postponed,Prohibit use of wireless devices by school bus drivers,9760
LB698,Louden,Passed,Eliminate certain insurance premium tax provisions,9326
LB699,McCoy,Indefinitely postponed,Require information obtained pursuant to certain arrests be forwarded to federal immigration authorities,9271
LB700,McCoy,Indefinitely postponed,Require certain construction and remodeling work to be supervised as prescribed in order to obtain a building permit,9714
LB701,Hadley,Passed,Change distribution of ICF/MR Reimbursement Protection Fund,9840
LB702,Gloor,Indefinitely postponed,Change provisions relating to a patient's access to medical records,9311
LB703,Wightman,Indefinitely postponed,Change provisions relating to powers of attorney,9808
LB704,Haar,Indefinitely postponed,Change a renewable energy tax credit,9314
LB705,Haar,Passed,"Remove a limitation on issuance of Pearl Harbor, prisoner-of-war, and disabled veteran license plates",9777
LB706,Haar,Passed,Provide fees for competency assessments of hearing interpreters,9366
LB707,Haar,Indefinitely postponed,Change provisions and penalties relating to unlawful intrusion,9420
LB708,Stuthman,Passed,Change certain date provisions relating to property tax exemptions,9582
LB709,White,Indefinitely postponed,Adopt the Small Business Regulatory Flexibility Act,9290
LB710,Dierks,Indefinitely postponed,Prohibit performance of chiropractic adjustments as prescribed,9633
LB711,Dierks,Passed,Change provisions relating to unified school systems and certification dates for state aid,9631
LB712,Rogert,Passed,Change provisions relating to legal process,9567
LB713,Gloor,Passed,Change provisions relating to school health inspections and authorize health data sharing,9673
LB714,Avery,Indefinitely postponed,Change requirements for disclaimers on political material,9644
LB715,Avery,Indefinitely postponed,Authorize projects in a specific portion of the Nebraska State Capitol Environs District,9608
LB716,Avery,Indefinitely postponed,Change eligibility requirements for members of a community college board of governors,9513
